Company,Levy Group,Effective Date,Fuel Surcharge
Direct Freight Express Pty Ltd,Customer B 1.10,05/01/2026,20.14%
D&E Valley Freight,D&E Valley Freight,05/01/2026,9.72%
Cahill Transport,Customer B 1.10,05/01/2026,20.14%
Bluestar Logistics Pty Ltd,Customer B 1.10,05/01/2026,20.14%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,05/01/2026,20.14%
Amalgamated National Logistics,Customer B 1.10,05/01/2026,20.14%
Allied Overnight Express Pty Ltd,Customer B 1.10,05/01/2026,20.14%
Airroad Pty Ltd,Customer A 1.15,05/01/2026,18.02%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,08/12/2025,19.78%
Vellex Logistics Pty Ltd,Customer A 1.15,08/12/2025,17.68%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,08/12/2025,17.68%
TFMXPRESS Pty Ltd,Customer B 1.10,08/12/2025,19.78%
Team Global Express Pty Ltd,Customer A 1.15,08/12/2025,17.68%
SRK Transport,Contractor C SRK,08/12/2025,12.35%
Northline Partnership,Customer A 1.15,08/12/2025,17.68%
Materia Family Trust,Contractor B Materia,08/12/2025,7.14%
Lakes Entrance Delivery Services,Contractor D LEDS,08/12/2025,5.00%
Hunter Express,Customer A 1.15,08/12/2025,17.68%
Hi Trans Express Pty Ltd,Customer A 1.15,08/12/2025,17.68%
G&G Gippsland Pty Ltd,Contractor A GFE,08/12/2025,9.43%
Freight Specialists Pty Ltd,Customer B 1.10,08/12/2025,19.78%
Farm Balance Pty Ltd,Customer B 1.10,08/12/2025,19.78%
Dux Manufacturing Ltd,Customer B 1.10,08/12/2025,19.78%
Direct Freight Express Pty Ltd,Customer B 1.10,08/12/2025,19.78%
D&E Valley Freight,D&E Valley Freight,08/12/2025,9.43%
Cahill Transport,Customer B 1.10,08/12/2025,19.78%
Bluestar Logistics Pty Ltd,Customer B 1.10,08/12/2025,19.78%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,08/12/2025,19.78%
Amalgamated National Logistics,Customer B 1.10,08/12/2025,19.78%
Allied Overnight Express Pty Ltd,Customer B 1.10,08/12/2025,19.78%
Airroad Pty Ltd,Customer A 1.15,08/12/2025,17.68%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,03/11/2025,20.25%
Vellex Logistics Pty Ltd,Customer A 1.15,03/11/2025,18.13%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,03/11/2025,18.13%
TFMXPRESS Pty Ltd,Customer B 1.10,03/11/2025,20.25%
Team Global Express Pty Ltd,Customer A 1.15,03/11/2025,18.13%
SRK Transport,Contractor C SRK,03/11/2025,12.75%
Northline Partnership,Customer A 1.15,03/11/2025,18.13%
Materia Family Trust,Contractor B Materia,03/11/2025,7.49%
Lakes Entrance Delivery Services,Contractor D LEDS,03/11/2025,5.00%
Hunter Express,Customer A 1.15,03/11/2025,18.13%
Hi Trans Express Pty Ltd,Customer A 1.15,03/11/2025,18.13%
G&G Gippsland Pty Ltd,Contractor A GFE,03/11/2025,9.80%
Freight Specialists Pty Ltd,Customer B 1.10,03/11/2025,20.25%
Farm Balance Pty Ltd,Customer B 1.10,03/11/2025,20.25%
Dux Manufacturing Ltd,Customer B 1.10,03/11/2025,20.25%
Direct Freight Express Pty Ltd,Customer B 1.10,03/11/2025,20.25%
D&E Valley Freight,D&E Valley Freight,03/11/2025,9.80%
Cahill Transport,Customer B 1.10,03/11/2025,20.25%
Bluestar Logistics Pty Ltd,Customer B 1.10,03/11/2025,20.25%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,03/11/2025,20.25%
Amalgamated National Logistics,Customer B 1.10,03/11/2025,20.25%
Allied Overnight Express Pty Ltd,Customer B 1.10,03/11/2025,20.25%
Airroad Pty Ltd,Customer A 1.15,03/11/2025,18.13%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,06/10/2025,21.01%
Vellex Logistics Pty Ltd,Customer A 1.15,06/10/2025,18.85%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,06/10/2025,18.85%
TFMXPRESS Pty Ltd,Customer B 1.10,06/10/2025,21.01%
Team Global Express Pty Ltd,Customer A 1.15,06/10/2025,18.85%
SRK Transport,Contractor C SRK,06/10/2025,13.39%
Northline Partnership,Customer A 1.15,06/10/2025,18.85%
Materia Family Trust,Contractor B Materia,06/10/2025,8.05%
Lakes Entrance Delivery Services,Contractor D LEDS,06/10/2025,5.00%
Hunter Express,Customer A 1.15,06/10/2025,18.85%
Hi Trans Express Pty Ltd,Customer A 1.15,06/10/2025,18.85%
G&G Gippsland Pty Ltd,Contractor A GFE,06/10/2025,10.40%
Freight Specialists Pty Ltd,Customer B 1.10,06/10/2025,21.01%
Farm Balance Pty Ltd,Customer B 1.10,06/10/2025,21.01%
Dux Manufacturing Ltd,Customer B 1.10,06/10/2025,21.01%
Direct Freight Express Pty Ltd,Customer B 1.10,06/10/2025,21.01%
D&E Valley Freight,D&E Valley Freight,06/10/2025,10.40%
Cahill Transport,Customer B 1.10,06/10/2025,21.01%
Bluestar Logistics Pty Ltd,Customer B 1.10,06/10/2025,21.01%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,06/10/2025,21.01%
Amalgamated National Logistics,Customer B 1.10,06/10/2025,21.01%
Allied Overnight Express Pty Ltd,Customer B 1.10,06/10/2025,21.01%
Airroad Pty Ltd,Customer A 1.15,06/10/2025,18.85%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,08/09/2025,20.66%
Vellex Logistics Pty Ltd,Customer A 1.15,08/09/2025,18.52%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,08/09/2025,18.52%
TFMXPRESS Pty Ltd,Customer B 1.10,08/09/2025,20.66%
Team Global Express Pty Ltd,Customer A 1.15,08/09/2025,18.52%
SRK Transport,Contractor C SRK,08/09/2025,13.10%
Northline Partnership,Customer A 1.15,08/09/2025,18.52%
Materia Family Trust,Contractor B Materia,08/09/2025,7.79%
Lakes Entrance Delivery Services,Contractor D LEDS,08/09/2025,5.00%
Hunter Express,Customer A 1.15,08/09/2025,18.52%
Hi Trans Express Pty Ltd,Customer A 1.15,08/09/2025,18.52%
G&G Gippsland Pty Ltd,Contractor A GFE,08/09/2025,10.13%
Freight Specialists Pty Ltd,Customer B 1.10,08/09/2025,20.66%
Farm Balance Pty Ltd,Customer B 1.10,08/09/2025,20.66%
Dux Manufacturing Ltd,Customer B 1.10,08/09/2025,20.66%
Direct Freight Express Pty Ltd,Customer B 1.10,08/09/2025,20.66%
D&E Valley Freight,D&E Valley Freight,08/09/2025,10.13%
Cahill Transport,Customer B 1.10,08/09/2025,20.66%
Bluestar Logistics Pty Ltd,Customer B 1.10,08/09/2025,20.66%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,08/09/2025,20.66%
Amalgamated National Logistics,Customer B 1.10,08/09/2025,20.66%
Allied Overnight Express Pty Ltd,Customer B 1.10,08/09/2025,20.66%
Airroad Pty Ltd,Customer A 1.15,08/09/2025,18.52%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,04/08/2025,20.29%
Vellex Logistics Pty Ltd,Customer A 1.15,04/08/2025,18.17%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,04/08/2025,18.17%
TFMXPRESS Pty Ltd,Customer B 1.10,04/08/2025,20.29%
Team Global Express Pty Ltd,Customer A 1.15,04/08/2025,18.17%
SRK Transport,Contractor C SRK,04/08/2025,12.78%
Northline Partnership,Customer A 1.15,04/08/2025,18.17%
Materia Family Trust,Contractor B Materia,04/08/2025,7.52%
Lakes Entrance Delivery Services,Contractor D LEDS,04/08/2025,5.00%
Hunter Express,Customer A 1.15,04/08/2025,18.17%
Hi Trans Express Pty Ltd,Customer A 1.15,04/08/2025,18.17%
G&G Gippsland Pty Ltd,Contractor A GFE,04/08/2025,9.83%
Freight Specialists Pty Ltd,Customer B 1.10,04/08/2025,20.29%
Farm Balance Pty Ltd,Customer B 1.10,04/08/2025,20.29%
Dux Manufacturing Ltd,Customer B 1.10,04/08/2025,20.29%
