Company,Levy Group,Effective Date,Fuel Surcharge,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,16/03/2026,21.53%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,16/03/2026,21.53%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,16/03/2026,21.53%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,16/03/2026,21.53%,,,,,,,
Cahill Transport,Customer B 1.10,16/03/2026,21.53%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,16/03/2026,21.53%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,16/03/2026,21.53%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,16/03/2026,21.53%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,16/03/2026,21.53%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,16/03/2026,10.81%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,16/03/2026,19.36%,,,,,,,
Hunter Express,Customer A 1.15,16/03/2026,19.36%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,16/03/2026,2.07%,,,,,,,
Materia Family Trust,Contractor B Materia,16/03/2026,8.44%,,,,,,,
Northline Partnership,Customer A 1.15,16/03/2026,19.36%,,,,,,,
SRK Transport,Contractor C SRK,16/03/2026,13.83%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,16/03/2026,19.36%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,16/03/2026,21.53%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,16/03/2026,19.36%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,16/03/2026,19.36%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,16/03/2026,21.53%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,2/03/2026,16.20%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,2/03/2026,18.23%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,2/03/2026,18.23%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,2/03/2026,18.23%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,2/03/2026,18.23%,,,,,,,
Cahill Transport,Customer B 1.10,2/03/2026,18.23%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,2/03/2026,18.23%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,2/03/2026,18.23%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,2/03/2026,18.23%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,2/03/2026,18.23%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,2/03/2026,8.21%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,2/03/2026,16.20%,,,,,,,
Hunter Express,Customer A 1.15,2/03/2026,16.20%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,2/03/2026,-0.09%,,,,,,,
Materia Family Trust,Contractor B Materia,2/03/2026,6.00%,,,,,,,
Northline Partnership,Customer A 1.15,2/03/2026,16.20%,,,,,,,
SRK Transport,Contractor C SRK,2/03/2026,11.04%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,2/03/2026,16.20%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,2/03/2026,18.23%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,2/03/2026,16.20%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,2/03/2026,16.20%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,2/03/2026,18.23%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,2/02/2026,16.94%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,2/02/2026,19.00%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,2/02/2026,19.00%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,2/02/2026,19.00%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,2/02/2026,19.00%,,,,,,,
Cahill Transport,Customer B 1.10,2/02/2026,19.00%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,2/02/2026,19.00%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,2/02/2026,19.00%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,2/02/2026,19.00%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,2/02/2026,19.00%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,2/02/2026,8.82%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,2/02/2026,16.94%,,,,,,,
Hunter Express,Customer A 1.15,2/02/2026,16.94%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,2/02/2026,0.29%,,,,,,,
Materia Family Trust,Contractor B Materia,2/02/2026,6.57%,,,,,,,
Northline Partnership,Customer A 1.15,2/02/2026,16.94%,,,,,,,
SRK Transport,Contractor C SRK,2/02/2026,11.70%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,2/02/2026,16.94%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,2/02/2026,19.00%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,2/02/2026,16.94%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,2/02/2026,16.94%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,2/02/2026,19.00%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,5/01/2026,18.02%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,5/01/2026,20.14%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,5/01/2026,20.14%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,5/01/2026,20.14%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,5/01/2026,20.14%,,,,,,,
Cahill Transport,Customer B 1.10,5/01/2026,20.14%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,5/01/2026,20.14%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,5/01/2026,20.14%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,5/01/2026,20.14%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,5/01/2026,20.14%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,5/01/2026,9.72%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,5/01/2026,18.02%,,,,,,,
Hunter Express,Customer A 1.15,5/01/2026,18.02%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,5/01/2026,0.89%,,,,,,,
Materia Family Trust,Contractor B Materia,5/01/2026,7.41%,,,,,,,
Northline Partnership,Customer A 1.15,5/01/2026,18.02%,,,,,,,
SRK Transport,Contractor C SRK,5/01/2026,12.66%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,5/01/2026,18.02%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,5/01/2026,20.14%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,5/01/2026,18.02%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,5/01/2026,18.02%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,5/01/2026,20.14%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,8/12/2025,17.68%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,8/12/2025,19.78%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,8/12/2025,19.78%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,8/12/2025,19.78%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,8/12/2025,19.78%,,,,,,,
Cahill Transport,Customer B 1.10,8/12/2025,19.78%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,8/12/2025,19.78%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,8/12/2025,19.78%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,8/12/2025,19.78%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,8/12/2025,19.78%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,8/12/2025,9.43%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,8/12/2025,17.68%,,,,,,,
Hunter Express,Customer A 1.15,8/12/2025,17.68%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,8/12/2025,1.47%,,,,,,,
Materia Family Trust,Contractor B Materia,8/12/2025,7.14%,,,,,,,
Northline Partnership,Customer A 1.15,8/12/2025,17.68%,,,,,,,
SRK Transport,Contractor C SRK,8/12/2025,12.35%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,8/12/2025,17.68%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,8/12/2025,19.78%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,8/12/2025,17.68%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,8/12/2025,17.68%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,8/12/2025,19.78%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,3/11/2025,18.13%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,3/11/2025,20.25%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,3/11/2025,20.25%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,3/11/2025,20.25%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,3/11/2025,20.25%,,,,,,,
Cahill Transport,Customer B 1.10,3/11/2025,20.25%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,3/11/2025,20.25%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,3/11/2025,20.25%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,3/11/2025,20.25%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,3/11/2025,20.25%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,3/11/2025,9.80%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,3/11/2025,18.13%,,,,,,,
Hunter Express,Customer A 1.15,3/11/2025,18.13%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,3/11/2025,0.54%,,,,,,,
Materia Family Trust,Contractor B Materia,3/11/2025,7.49%,,,,,,,
Northline Partnership,Customer A 1.15,3/11/2025,18.13%,,,,,,,
SRK Transport,Contractor C SRK,3/11/2025,12.75%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,3/11/2025,18.13%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,3/11/2025,20.25%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,3/11/2025,18.13%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,3/11/2025,18.13%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,3/11/2025,20.25%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,6/10/2025,18.85%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,6/10/2025,21.01%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,6/10/2025,21.01%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,6/10/2025,21.01%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,6/10/2025,21.01%,,,,,,,
Cahill Transport,Customer B 1.10,6/10/2025,21.01%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,6/10/2025,21.01%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,6/10/2025,21.01%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,6/10/2025,21.01%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,6/10/2025,21.01%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,6/10/2025,10.40%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,6/10/2025,18.85%,,,,,,,
Hunter Express,Customer A 1.15,6/10/2025,18.85%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,6/10/2025,1.76%,,,,,,,
Materia Family Trust,Contractor B Materia,6/10/2025,8.05%,,,,,,,
Northline Partnership,Customer A 1.15,6/10/2025,18.85%,,,,,,,
SRK Transport,Contractor C SRK,6/10/2025,13.39%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,6/10/2025,18.85%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,6/10/2025,21.01%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,6/10/2025,18.85%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,6/10/2025,18.85%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,6/10/2025,21.01%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,8/09/2025,18.52%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Cahill Transport,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,8/09/2025,20.66%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,8/09/2025,10.13%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,8/09/2025,18.52%,,,,,,,
Hunter Express,Customer A 1.15,8/09/2025,18.52%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,8/09/2025,1.61%,,,,,,,
Materia Family Trust,Contractor B Materia,8/09/2025,7.79%,,,,,,,
Northline Partnership,Customer A 1.15,8/09/2025,18.52%,,,,,,,
SRK Transport,Contractor C SRK,8/09/2025,13.10%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,8/09/2025,18.52%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,8/09/2025,18.52%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,8/09/2025,18.52%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,4/08/2025,18.17%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Cahill Transport,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
